Designator,Mid X,Mid Y,Layer,Rotation
CONN5,462.98,466.4,Top,0
CONN15,575.5,494.18,Top,90
CONN2,442.5,462.93,Top,0
CONN3,449.3,462.93,Top,0
CONN4,453.35,518.4,Top,270
CONN7,516.65,480.1,Top,90
CONN14,575.5,513.92,Top,90
CONN9,521.45,532.65,Top,0
CONN1,426.82,466.2,Top,0
CONN13,563,466.4,Top,0
CONN6,488.57,466.4,Top,0
CONN10,531.9,466.38,Top,0
IC12,558.02,514.35,Top,0
IC13,579.3,478,Top,0
J1,463.4,514.02,Top,0
C5,432.6,479.3,Top,180
C9,463,485.4,Top,180
C10,464.3,527.3,Top,0
C11,471.2,522.7,Top,0
C13,481.3,518.3,Top,0
C14,481.3,508.8,Top,0
C16,482.1,480.4,Top,0
C24,494,489.6,Top,0
C25,494,479.8,Top,0
C27,498.7,496,Top,180
C28,498.9,479.9,Top,0
C30,503.5,492.8,Top,180
C31,503.4,482.8,Top,180
C32,509.4,489.7,Top,0
C33,509.5,479.8,Top,180
C34,515.5,494.8,Top,180
C35,528.9,506.6,Top,0
C36,532.6,524.2,Top,0
C37,532.5,521.4,Top,0
C38,534,497.15,Top,270
C39,539,497.3,Top,0
C40,539,489.5,Top,0
C41,540.2,481,Top,0
C42,542,523.3,Top,0
C43,544.2,497.1,Top,0
C44,544.1,489.4,Top,0
C45,545,481,Top,0
C46,548.8,490.3,Top,0
C47,548.9,487.3,Top,180
C48,551.2,523.5,Top,180
C49,551.2,517.7,Top,180
C50,551.05,508.8,Top,180
C51,552.5,480.9,Top,0
C52,555.3,493.4,Top,0
C53,559.1,504.6,Top,0
C54,558.1,501.4,Top,0
C55,561.7,486.1,Top,0
C56,561.3,482.6,Top,0
C57,561.4,479.8,Top,0
C58,564.2,504.4,Top,0
C59,564.2,501.4,Top,0
C60,576.5,482.5,Top,0
IC10,543.1,512.9,Top,0
X2,495.8,525.26,Top,0
C1,418.8,493.3,Top,0
C2,422.2,509,Top,0
C3,426.5,493.3,Top,0
C4,431.6,516.6,Top,0
C17,490.86,535.4,Top,0
C18,491.6,529,Top,0
C19,491.7,525.3,Top,0
C20,494.3,511.4,Top,0
C21,494.3,508.3,Top,0
C22,494.3,505.1,Top,0
C23,494.2,502,Top,0
C26,498.2,506,Top,90
C29,499.7,525.6,Top,0
LD1,483.24,534.66,Top,0
LED1,503.3,528.6,Top,180
LED2,508,528.7,Top,180
IC1,424.11,526.18,Top,0
IC2,423.6,488.2,Top,0
IC8,529.7,513,Top,0
IC7,516.9,490.7,Top,0
L2,494.2,514.2,Top,180
SWPROG,521.84,538.8,Top,0
IC9,528.55,487.58,Top,270
IC11,555.2,488,Top,0
Q1,445.5,473.7,Top,0
IC3,440.44,493.57,Top,90
IC5,478.55,493.98,Top,90
R1,432.6,482.4,Top,0
R2,445.3,478.3,Top,180
R3,445.5,467.5,Top,180
R6,478.4,483.4,Top,0
R7,482.1,483.4,Top,180
R8,493.9,495.8,Top,0
R9,494,492.7,Top,0
R10,494,485.8,Top,0
R11,493.9,482.9,Top,0
R12,498.7,492.8,Top,180
R13,498.6,489.7,Top,180
R14,498.8,485.7,Top,0
R15,498.8,482.8,Top,0
R16,500.2,531.5,Top,0
R17,501.2,502.5,Top,270
R18,503.1,522.5,Top,0
R19,504.2,502.5,Top,270
R20,503.5,496,Top,0
R21,503.4,485.8,Top,0
R22,507.1,534.2,Top,270
R23,509.1,503.5,Top,90
R24,509.4,496.1,Top,0
R25,509.5,492.8,Top,180
R26,509.4,485.8,Top,180
R27,509.4,482.8,Top,0
R28,513.7,528.5,Top,0
R29,513.7,525.7,Top,0
R30,516.9,486.4,Top,180
R31,527.3,524.2,Top,0
R32,527.2,521.3,Top,0
R33,534.1,539.7,Top,0
R34,538.4,539.7,Top,0
R35,539.1,493.2,Top,0
R36,539,485.8,Top,0
R37,540.1,478,Top,0
R38,542.1,520.4,Top,0
R39,544.3,539.8,Top,0
R40,544.3,493.1,Top,0
R41,544.2,485.7,Top,0
R42,545,477.9,Top,0
R43,549.1,539.7,Top,0
R44,549.8,514.8,Top,180
R45,550.1,496.8,Top,0
R46,550.1,493.7,Top,0
R47,548.8,483.9,Top,0
R48,548.8,480.9,Top,0
R50,551.2,520.6,Top,180
R51,550.7,512,Top,180
R52,558,525.5,Top,0
R53,558,522.1,Top,0
R54,557.6,482.6,Top,0
R55,557.7,479.8,Top,0
R57,562.3,497,Top,0
R58,562.3,494.1,Top,0
R59,563.4,525.4,Top,0
R60,563.4,522.2,Top,0
R61,565.69,479.9,Top,0
R62,568.1,536.2,Top,0
R63,568.2,533,Top,0
R64,568.2,529.8,Top,0
R65,565.79,476.8,Top,180
R66,569.79,479.8,Top,0
R67,569.8,476.8,Top,0
R68,472,533.7,Top,180
R49,548.9,478,Top,0
R56,557.6,476.8,Top,0
IC4,464.29,533.02,Top,270
D1,422.5,514,Top,0
D2,442.1,515.4,Top,0
IC6,506.27,513.41,Top,0
L1,443.3,534.2,Top,0
J2,547.23,532.77,Top,0
C7,454.4,535.9,Top,0
C8,454.4,530.9,Top,0
C15,482.9,525.3,Top,0
CONN8,519.7,494.89,Top,0
CONN11,554.39,497.5,Top,0
CONN12,561.2,491,Top,0
CONN16,580.7,482.5,Top,0
CONN17,580.7,475.19,Top,0
CONN18,580.7,473.1,Top,0
CONN19,580.7,471.1,Top,0
C6,439.6,506.9,Top,0
X1,486.8,513.5,Top,270
